ICD O 3 topogrophy code (modified),ICD O 3 topography code,SNOMED CT CODES,Region (level 1),Organ system (Level 2),Broad Site (Level 3),Site (Level 4),
C40.2.R,C40.2.,10013000,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Lateral meniscus of knee joint-Right,#N/A
C40.2.R,C40.2.,49390008,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Medial meniscus of knee joint-Right,#N/A
C40.2.R,C40.2.,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Semilunar cartilage-Right,#N/A
C40.2.R,C40.2.,12611008,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Tibia-Right,#N/A
C40.3,C40.3,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Short bones of lower limb and associated joints,#N/A
C40.3,C40.3,70258002,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Ankle joint,Ankle joint
C40.3,C40.3,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of ankle,#N/A
C40.3,C40.3,84167007,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of foot,Bone of foot
C40.3,C40.3,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of heel,#N/A
C40.3,C40.3,89534004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of toe,Bone of toe
C40.3,C40.3,26552008,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Foot joint,Foot joint
C40.3,C40.3,53884002,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Metatarsal bone,Metatarsal bone
C40.3,C40.3,64234005,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Patella,Patella
C40.3,C40.3,89534004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Phalanx of foot,Phalanx of foot
C40.3,C40.3,108372004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Tarsal bone,Tarsal bone
C40.3.L,C40.3.,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Short bones of lower limb and associated joints-Left,#N/A
C40.3.L,C40.3.,70258002,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Ankle joint-Left,#N/A
C40.3.L,C40.3.,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of ankle-Left,#N/A
C40.3.L,C40.3.,84167007,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of foot-Left,#N/A
C40.3.L,C40.3.,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of heel-Left,#N/A
C40.3.L,C40.3.,89534004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of toe-Left,#N/A
C40.3.L,C40.3.,26552008,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Foot joint-Left,#N/A
C40.3.L,C40.3.,53884002,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Metatarsal bone-Left,#N/A
C40.3.L,C40.3.,64234005,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Patella-Left,#N/A
C40.3.L,C40.3.,89534004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Phalanx of foot-Left,#N/A
C40.3.L,C40.3.,108372004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Tarsal bone-Left,#N/A
C40.3.R,C40.3.,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Short bones of lower limb and associated joints-Right,#N/A
C40.3.R,C40.3.,70258002,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Ankle joint-Right,#N/A
C40.3.R,C40.3.,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of ankle-Right,#N/A
C40.3.R,C40.3.,84167007,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of foot-Right,#N/A
C40.3.R,C40.3.,,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of heel-Right,#N/A
C40.3.R,C40.3.,89534004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Bone of toe-Right,#N/A
C40.3.R,C40.3.,26552008,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Foot joint-Right,#N/A
C40.3.R,C40.3.,53884002,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Metatarsal bone-Right,#N/A
C40.3.R,C40.3.,64234005,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Patella-Right,#N/A
C40.3.R,C40.3.,89534004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Phalanx of foot-Right,#N/A
C40.3.R,C40.3.,108372004,Lower limb,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",Tarsal bone-Right,#N/A
C40.8,C40.8,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Overlapping lesion of bones, joints and articular cartilage of limbs",#N/A
C40.8.L,C40.8.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Overlapping regions of bones, joints and articular cartilage of limbs-Left",#N/A
C40.8.R,C40.8.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Overlapping regions of bones, joints and articular cartilage of limbs-Right",#N/A
C40.9,C40.9,48566001,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Bone of limb, NOS",#N/A
C40.9,C40.9,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Articular cartilage of limb, NOS",#N/A
C40.9,C40.9,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Cartilage of limb, NOS",#N/A
C40.9,C40.9,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Joint of limb, NOS",#N/A
C40.9.L,C40.9.,48566001,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Bone of limb, NOS-Left",#N/A
C40.9.L,C40.9.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Articular cartilage of limb, NOS-Left",#N/A
C40.9.L,C40.9.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Cartilage of limb, NOS-Left",#N/A
C40.9.L,C40.9.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Joint of limb, NOS-Left",#N/A
C40.9.R,C40.9.,48566001,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Bone of limb, NOS-Right",#N/A
C40.9.R,C40.9.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Articular cartilage of limb, NOS-Right",#N/A
C40.9.R,C40.9.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Cartilage of limb, NOS-Right",#N/A
C40.9.R,C40.9.,,Limbs,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS","Joint of limb, NOS-Right",#N/A
C41.0,C41.0,,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Bones of skull and face and associated joints,#N/A
C41.0,C41.0,10927008,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Calvarium,Calvarium
C41.0,C41.0,181792001,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Cranial bone,Cranial bone
C41.0,C41.0,52374004,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Ethmoid bone,Ethmoid bone
C41.0,C41.0,91397008,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Facial bone,Facial bone
C41.0,C41.0,74872008,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Frontal bone,Frontal bone
C41.0,C41.0,21387005,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Hyoid bone,Hyoid bone
C41.0,C41.0,70925003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Maxilla,Maxilla
C41.0,C41.0,74386004,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Nasal bone,Nasal bone
C41.0,C41.0,31640002,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Occipital bone,Occipital bone
C41.0,C41.0,13881006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Orbital bone,Orbital bone
C41.0,C41.0,24924006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Parietal bone,Parietal bone
C41.0,C41.0,89546000,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES","Skull, NOS",#N/A
C41.0,C41.0,73117003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Sphenoid bone,Sphenoid bone
C41.0,C41.0,60911003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Temporal bone,Temporal bone
C41.0,C41.0,70925003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Upper jaw bone,Upper jaw bone
C41.0,C41.0,13881006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Zygomatic bone,Zygomatic bone
C41.0.L,C41.0.,52374004,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Ethmoid bone-Left,#N/A
C41.0.L,C41.0.,91397008,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Facial bone-Left,#N/A
C41.0.L,C41.0.,70925003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Maxilla-Left,#N/A
C41.0.L,C41.0.,13881006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Orbital bone-Left,#N/A
C41.0.L,C41.0.,24924006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Parietal bone-Left,#N/A
C41.0.L,C41.0.,60911003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Temporal bone-Left,#N/A
C41.0.L,C41.0.,70925003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Upper jaw bone-Left,#N/A
C41.0.L,C41.0.,13881006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Zygomatic bone-Left,#N/A
C41.0.R,C41.0.,52374004,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Ethmoid bone-Right,#N/A
C41.0.R,C41.0.,91397008,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Facial bone-Right,#N/A
C41.0.R,C41.0.,70925003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Maxilla-Right,#N/A
C41.0.R,C41.0.,13881006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Orbital bone-Right,#N/A
C41.0.R,C41.0.,24924006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Parietal bone-Right,#N/A
C41.0.R,C41.0.,60911003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Temporal bone-Right,#N/A
C41.0.R,C41.0.,70925003,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Upper jaw bone-Right,#N/A
C41.0.R,C41.0.,13881006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Zygomatic bone-Right,#N/A
C41.1,C41.1,91609006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Mandible,Mandible
C41.1,C41.1,,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES","Jaw bone, NOS",#N/A
C41.1,C41.1,91609006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lower jaw bone,Lower jaw bone
C41.1,C41.1,53620006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Temporomandibular joint,Temporomandibular joint
C41.1.L,C41.1.,91609006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Mandible-Left,#N/A
C41.1.L,C41.1.,,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES","Jaw bone, NOS-Left",#N/A
C41.1.L,C41.1.,91609006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lower jaw bone-Left,#N/A
C41.1.L,C41.1.,53620006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Temporomandibular joint-Left,#N/A
C41.1.R,C41.1.,91609006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Mandible-Right,#N/A
C41.1.R,C41.1.,,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES","Jaw bone, NOS-Right",#N/A
C41.1.R,C41.1.,91609006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lower jaw bone-Right,#N/A
C41.1.R,C41.1.,53620006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Temporomandibular joint-Right,#N/A
C41.2,C41.2,44300000,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Vertebral column,Vertebral column
C41.2,C41.2,14806007,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Atlas,Atlas
C41.2,C41.2,181818007,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Atlas Vertebra,Atlas vertebra
C41.2,C41.2,39976000,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Axis,Axis
C41.2,C41.2,181819004,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Axis Vertebra,Axis vertebra
C41.2,C41.2,,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Bone of back,#N/A
C41.2,C41.2,14806007,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",C1 Vertebra,C1 vertebra
C41.2,C41.2,181819004,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",C2 Vertebra,C2 vertebra
C41.2,C41.2,181823007,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",C3 Vertebra,C3 vertebra
C41.2,C41.2,181824001,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",C4 Vertebra,C4 vertebra
C41.2,C41.2,181825000,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",C5 Vertebra,C5 vertebra
C41.2,C41.2,181826004,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",C6 Vertebra,C6 vertebra
C41.2,C41.2,181827008,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",C7 Vertebra,C7 vertebra
C41.2,C41.2,84667006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Cervical Spine,Cervical spine
C41.2,C41.2,84667006,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Cervical Vertebra,Cervical vertebra
C41.2,C41.2,,Head Neck,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Cervical Vertebral column,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Cervicodorsal Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Cervicodorsal Vertebral column,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D1 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D10 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D11 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D12 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D2 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D3 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D4 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D5 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D6 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D7 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D8 Vertebra,#N/A
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",D9 Vertebra,#N/A
C41.2,C41.2,293330002,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Dorsal Spine,Dorsal spine
C41.2,C41.2,35769007,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Dorsal Vertebra,Dorsal vertebra
C41.2,C41.2,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Dorsal Vertebral column,#N/A
C41.2,C41.2,,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Dorsolumbar Spine,#N/A
C41.2,C41.2,,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Dorsolumbar Vertebra,#N/A
C41.2,C41.2,,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Dorsolumbar Vertebral column,#N/A
C41.2,C41.2,72810009,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Intervertebral disc,Intervertebral disc
C41.2,C41.2,181841004,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",L1 Vertebra,L1 vertebra
C41.2,C41.2,181842006,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",L2 Vertebra,L2 vertebra
C41.2,C41.2,181843001,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",L3 Vertebra,L3 vertebra
C41.2,C41.2,181844007,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",L4 Vertebra,L4 vertebra
C41.2,C41.2,181845008,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",L5 Vertebra,L5 vertebra
C41.2,C41.2,73903008,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lumbar Spine,Lumbar spine
C41.2,C41.2,73903008,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lumbar Vertebra,Lumbar vertebra
C41.2,C41.2,73903008,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lumbar Vertebral column,Lumbar vertebral column
C41.2,C41.2,,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lumbosacral Vertebra,#N/A
C41.2,C41.2,,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Lumbosacral Vertebral column,#N/A
C41.2,C41.2,,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Nucleus pulposus,#N/A
C41.2,C41.2,264184009,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Sacral Spine,Sacral spine
C41.2,C41.2,87141009,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Sacral Vertebra,Sacral vertebra
C41.2,C41.2,,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Sacral Vertebral column,#N/A
C41.2,C41.2,44300000,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Spinal column,Spinal column
C41.2,C41.2,44300000,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Spine,Spine
C41.2,C41.2,51282000,Trunk,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Vertebra,Vertebra
C41.3,C41.3,,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES","Rib, sternum, clavicle and associated joints",#N/A
C41.3,C41.3,50016007,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Costal cartilage,Costal cartilage
C41.3,C41.3,81688003,Thoracic,Bone Soft Tissue,"BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",Costovertebral joint,Costovertebral joint
